/Users/joe-caozhi/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment Hopper-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(

========================================================================
  Off-Policy vs On-Policy Comparison
  Envs:  ['Hopper-v4', 'Walker2d-v4', 'HalfCheetah-v4']
  Algos: ['SAC', 'TD3']  (SAC/TD3: 1,000,000 steps)
  Seeds: [42, 123, 456, 789, 1234]
  Total runs: 30
========================================================================


  [1/30] Hopper-v4 | SAC | seed=42
[SAC] Step  952320/1000000 | Eval:   3270.9 | Buffer:  952320 | Elapsed: 8093s
[SAC] Step  962560/1000000 | Eval:   3489.7 | Buffer:  962560 | Elapsed: 8170s
[SAC] Step  972800/1000000 | Eval:   3423.5 | Buffer:  972800 | Elapsed: 8245s
[SAC] Step  983040/1000000 | Eval:   3444.9 | Buffer:  983040 | Elapsed: 8321s
[SAC] Step  993280/1000000 | Eval:   3439.6 | Buffer:  993280 | Elapsed: 8396s
  -> Saved: results/OffPolicyComparison/Hopper-v4/SAC/SAC_s42_metrics.json
  -> SAC Hopper-v4 s42: 3413.7 (8448s)
/Users/joe-caozhi/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment Hopper-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
  Saved summary -> results/OffPolicyComparison/offpolicy_comparison_summary.json

  [2/30] Hopper-v4 | SAC | seed=123
[SAC] Step   10240/1000000 | Eval:    130.1 | Buffer:   10240 | Elapsed: 3s
[SAC] Step   20480/1000000 | Eval:    274.8 | Buffer:   20480 | Elapsed: 79s
[SAC] Step   30720/1000000 | Eval:    368.4 | Buffer:   30720 | Elapsed: 154s
[SAC] Step   40960/1000000 | Eval:    424.8 | Buffer:   40960 | Elapsed: 229s
[SAC] Step   51200/1000000 | Eval:    579.2 | Buffer:   51200 | Elapsed: 305s
[SAC] Step   61440/1000000 | Eval:    667.5 | Buffer:   61440 | Elapsed: 380s
[SAC] Step   71680/1000000 | Eval:    489.2 | Buffer:   71680 | Elapsed: 455s
[SAC] Step   81920/1000000 | Eval:    442.2 | Buffer:   81920 | Elapsed: 531s
[SAC] Step   92160/1000000 | Eval:    531.0 | Buffer:   92160 | Elapsed: 606s
[SAC] Step  102400/1000000 | Eval:    573.0 | Buffer:  102400 | Elapsed: 681s
[SAC] Step  112640/1000000 | Eval:    659.8 | Buffer:  112640 | Elapsed: 756s
[SAC] Step  122880/1000000 | Eval:    673.0 | Buffer:  122880 | Elapsed: 832s
[SAC] Step  133120/1000000 | Eval:    930.0 | Buffer:  133120 | Elapsed: 907s
[SAC] Step  143360/1000000 | Eval:    856.0 | Buffer:  143360 | Elapsed: 983s
[SAC] Step  153600/1000000 | Eval:   1054.9 | Buffer:  153600 | Elapsed: 1058s
[SAC] Step  163840/1000000 | Eval:   2077.8 | Buffer:  163840 | Elapsed: 1134s
[SAC] Step  174080/1000000 | Eval:   2120.3 | Buffer:  174080 | Elapsed: 1210s
[SAC] Step  184320/1000000 | Eval:   2393.8 | Buffer:  184320 | Elapsed: 1286s
[SAC] Step  194560/1000000 | Eval:   1754.1 | Buffer:  194560 | Elapsed: 1363s
[SAC] Step  204800/1000000 | Eval:    838.1 | Buffer:  204800 | Elapsed: 1438s
[SAC] Step  215040/1000000 | Eval:   1623.6 | Buffer:  215040 | Elapsed: 1514s
[SAC] Step  225280/1000000 | Eval:   2809.2 | Buffer:  225280 | Elapsed: 1590s
[SAC] Step  235520/1000000 | Eval:   3159.8 | Buffer:  235520 | Elapsed: 1667s
[SAC] Step  245760/1000000 | Eval:   2404.4 | Buffer:  245760 | Elapsed: 1744s
[SAC] Step  256000/1000000 | Eval:   1047.2 | Buffer:  256000 | Elapsed: 1816s
[SAC] Step  266240/1000000 | Eval:   3161.6 | Buffer:  266240 | Elapsed: 1889s
[SAC] Step  276480/1000000 | Eval:   3122.9 | Buffer:  276480 | Elapsed: 1962s
[SAC] Step  286720/1000000 | Eval:   3242.1 | Buffer:  286720 | Elapsed: 2035s
[SAC] Step  296960/1000000 | Eval:   3199.5 | Buffer:  296960 | Elapsed: 2107s
[SAC] Step  307200/1000000 | Eval:   3269.4 | Buffer:  307200 | Elapsed: 2180s
[SAC] Step  317440/1000000 | Eval:   3214.6 | Buffer:  317440 | Elapsed: 2253s
[SAC] Step  327680/1000000 | Eval:   3229.7 | Buffer:  327680 | Elapsed: 2326s
[SAC] Step  337920/1000000 | Eval:   3235.9 | Buffer:  337920 | Elapsed: 2399s
